,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,fuel,ignition,output,resolution,resolution_units,run_binary,run_end,run_max_mem_rss_bytes,run_start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
1376,burnpro3d/d/8d/32/run_8d32e27a-bebd-4f81-acb5-4ef3bb6fa72b,2023-07-28T10:19:23.972201,1.0,,"[-928246.0, 1477596.0, -927440.0, 1476900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-28T09:16:08.984638-07:00,1938248,2023-06-28T07:49:47.498851-07:00,-1,3824,0.05,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",75.0,2.235
1384,burnpro3d/d/8d/4e/run_8d4ea73f-b8fc-46bf-a27b-def1cb091964,2023-07-28T10:19:23.972201,0.9,,"[-1398056.0, 2815704.0, -1397036.0, 2814900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T12:58:27.963610-07:00,2552064,2023-06-19T08:59:45.265167-07:00,-1,7313,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",270.0,2.235
1401,burnpro3d/d/8d/88/run_8d881195-7add-40f7-bce5-4f4154ad7dab,2023-07-28T10:19:23.972201,1.0,,"[123782.0, 1223754.0, 124586.0, 1222950.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-13T12:22:12.127165-07:00,2456940,2023-07-13T12:17:34.584024-07:00,-1,9396,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
1403,burnpro3d/d/8d/8e/run_8d8eb4e2-d1bc-4d11-b1f1-b70dc978e89d,2023-07-28T10:19:23.972201,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T19:58:35.015273-07:00,4246152,2023-06-19T15:15:58.090470-07:00,-1,6705,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",120.0,2.682
1408,burnpro3d/d/8d/a1/run_8da1cea3-512a-456c-816f-e4ad19fd08e8,2023-07-28T10:19:23.972201,1.0,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:48:05.893135-07:00,1337224,2023-07-18T16:25:21.040846-07:00,-1,5945,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,6.705
1410,burnpro3d/d/8d/a3/run_8da34e95-5045-4fe2-9922-2ed9c3145bee,2023-07-28T10:19:23.972201,0.5,,"[-2126863, 2649938, -2126015, 2648970]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2, 2, 1]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-05T16:02:45.594949-07:00,2659408,2023-06-05T15:12:06.677247-07:00,-1,4225,0.2,1,600,,60.0,15.0
1453,burnpro3d/d/8e/13/run_8e131009-e8ad-4e6b-859c-e13694529eb0,2023-07-28T10:19:23.972201,1.0,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T21:00:25.607319-07:00,3917220,2023-06-23T15:23:46.117681-07:00,-1,27251,0.25,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,2.235
1458,burnpro3d/d/8e/1c/run_8e1cc008-d541-466b-aa3e-b1434db3e786,2023-07-28T10:19:23.972201,0.9,,"[-1398056.0, 2815704.0, -1397036.0, 2814900.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T14:23:57.429716-07:00,2551880,2023-06-19T09:17:45.129910-07:00,-1,7313,0.1,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",240.0,2.235
1466,burnpro3d/d/8e/2e/run_8e2e02e3-1745-43a1-8f40-4e70851f5691,2023-07-28T10:19:23.972201,0.9,,"[-2097480.0, 2037504.0, -2096674.0, 2036700.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-19T21:10:15.714248-07:00,4233128,2023-06-19T15:42:50.488989-07:00,-1,8543,0.11,1,600,"{'topo_calcs': True, 'total_startup_iters': 500}",225.0,4.917
1484,burnpro3d/d/8e/61/run_8e611f6a-a208-4140-bf81-cef881e190ce,2023-07-28T10:19:23.972201,0.9,,"[1298064.0, 942076.0, 1298868.0, 941272.0]","[[x1, y1], [x2, y2]]",,,,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-07-18T16:39:56.642348-07:00,1337004,2023-07-18T16:04:55.317939-07:00,-1,5945,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
